brand_name,price,rating,has_5G,has_nfc,has_ir_blaster,processor_brand,num_cores,processor_speed,ram_capacity,internal_memory,battery_capacity,fast_charging_available,fast_charging,refresh_rate,num_rear_cameras,num_front_cameras,rear_main_camera,front_main_camera,os,extended_memory_available,extended_upto,ppi
vivo,119990,86,1,1,0,snapdragon,8,3.2,12,256,4800,1,66,120,3,1,50,32,android,0,0,359.57
tecno,7999,65,0,0,0,helio,8,2.3,4,64,5000,0,0,90,2,1,13,8,android,1,256,265.84
others,54999,89,1,1,0,snapdragon,8,2.4,8,128,4000,1,33,60,3,1,64,32,others,1,1024,395.09
apple,38999,73,0,1,0,bionic,6,2.6,4,64,3110,0,0,60,2,1,12,12,ios,0,0,323.61
poco,20999,81,1,1,1,snapdragon,8,2.4,6,128,5000,1,67,120,3,1,108,16,android,0,0,394.57
samsung,101999,83,1,1,0,exynos,8,2.9,12,128,5000,1,25,120,4,1,108,40,android,0,0,516.04
others,46999,83,1,0,0,snapdragon,8,3.0,12,256,6000,1,65,120,1,1,200,32,android,1,256,506.21
motorola,16999,80,1,1,0,snapdragon,8,2.2,6,128,5000,1,33,60,3,1,50,16,android,0,0,411.22
huawei,23999,84,0,1,0,snapdragon,8,2.4,8,256,4500,1,66,90,3,1,108,16,android,1,256,362.06
oppo,8999,68,0,0,0,helio,8,2.0,4,64,4230,0,0,60,1,1,13,5,android,1,1024,269.1
others,60999,86,1,1,0,snapdragon,8,3.2,12,256,5000,1,165,120,3,1,50,16,android,0,0,399.93
others,5999,60,0,0,0,tiger,4,1.8,6,64,4000,1,10,60,2,1,8,5,android,0,0,264.33
oneplus,36999,87,1,1,0,dimensity,8,2.8,12,256,5000,1,80,120,3,1,50,16,android,0,0,394.44
realme,18999,80,1,0,0,snapdragon,8,2.4,6,128,5000,1,30,144,3,1,48,16,android,1,1024,400.42
oppo,27660,83,1,0,0,snapdragon,8,2.2,8,128,4800,1,67,120,3,1,64,32,android,1,1024,399.97
realme,6499,61,0,0,0,unisoc,8,1.6,2,32,5000,0,0,60,1,1,8,5,android,1,256,269.1
poco,14999,74,1,0,1,snapdragon,8,2.2,4,128,5000,1,33,120,3,1,48,8,android,0,0,394.57
realme,13999,75,1,0,0,dimensity,8,2.4,4,64,5000,1,18,90,3,1,48,16,android,1,1024,404.89
apple,45999,75,1,1,0,bionic,6,3.1,4,128,3034,0,0,60,2,1,12,12,ios,0,0,477.26
infinix,12999,77,0,0,0,helio,8,2.0,6,128,5000,1,33,60,3,1,50,16,android,1,512,392.81
poco,15999,75,1,0,1,dimensity,8,2.2,4,64,5000,1,18,90,3,1,48,8,android,1,1024,404.89
tecno,14999,77,0,1,0,helio,8,2.0,6,128,5000,1,18,90,3,1,48,32,android,0,0,387.03
xiaomi,7289,60,0,0,0,helio,4,2.0,2,32,5000,1,10,60,2,1,8,5,android,1,512,269.1
apple,149900,79,1,1,0,bionic,8,3.2,8,128,4700,1,52,120,3,1,48,12,ios,0,0,457.54
samsung,16499,75,1,0,0,exynos,8,2.4,4,64,5000,1,15,90,3,1,50,13,android,1,1024,399.86
xiaomi,19999,83,1,0,1,snapdragon,8,2.4,6,128,5200,1,33,120,4,1,108,32,android,1,512,394.57
oppo,89990,88,1,1,0,dimensity,8,3.0,8,128,4300,1,44,120,2,1,50,32,others,0,0,394.6
others,7999,70,0,0,0,helio,8,2.0,4,64,5000,0,0,60,2,1,50,5,android,1,512,268.29
infinix,16900,83,0,0,0,helio,8,2.2,8,256,5000,1,33,60,3,1,108,16,android,1,1024,392.81
xiaomi,27994,82,1,0,1,dimensity,8,2.6,8,256,5000,1,67,120,3,1,50,16,android,0,0,394.57
oppo,31994,87,1,1,0,dimensity,8,3.0,12,256,4500,1,65,90,3,1,50,32,android,1,256,401.8
samsung,16999,80,1,1,0,snapdragon,8,2.2,6,128,5000,1,25,120,3,1,50,8,android,1,1024,399.86
realme,13999,74,0,0,0,helio,8,2.2,4,64,5000,1,33,90,2,1,50,16,android,1,1024,411.22
infinix,16999,80,0,0,0,helio,8,2.2,6,128,5000,1,120,60,4,1,108,16,android,1,256,388.8
huawei,22990,82,0,1,0,snapdragon,8,2.4,8,128,5000,1,40,90,4,1,50,8,others,1,1024,391.17
realme,16999,80,1,1,1,dimensity,8,2.2,6,128,5000,1,18,90,3,1,48,16,android,1,1024,404.89
motorola,19990,80,1,1,1,snapdragon,8,2.2,6,128,5000,1,38,60,3,1,108,32,android,1,1024,387.03
iqoo,59999,88,1,1,0,snapdragon,8,3.2,8,256,5000,1,120,144,3,1,50,16,android,0,0,517.56
vivo,24999,83,0,0,0,dimensity,8,2.4,8,128,4000,1,33,90,3,1,64,44,android,1,256,408.67
poco,11499,75,1,0,1,dimensity,8,2.2,4,64,5000,1,18,90,2,1,50,8,android,1,512,399.97
xiaomi,16999,81,1,0,1,dimensity,8,2.4,6,128,5000,1,33,90,2,1,50,16,android,1,1024,398.76
vivo,15000,65,0,0,0,snapdragon,8,2.0,4,64,4030,0,0,60,2,1,13,20,android,1,256,270.4
samsung,19999,82,0,0,0,exynos,8,2.3,6,128,6000,1,15,60,3,1,64,32,android,1,512,402.69
realme,49959,89,1,1,0,snapdragon,8,3.0,8,128,5000,1,65,120,3,1,50,32,android,0,0,525.92
infinix,11700,74,0,0,0,helio,8,2.0,4,64,5000,1,33,60,3,1,50,16,android,1,512,392.81
tecno,13990,67,0,0,0,helio,8,2.0,6,128,7000,0,0,90,2,1,16,8,android,1,512,257.26
samsung,31239,88,1,1,0,snapdragon,8,2.8,8,128,4500,1,26,120,3,1,12,32,android,1,256,404.89
samsung,13999,75,1,0,0,dimensity,8,2.2,6,128,5000,1,15,90,2,1,50,5,android,1,1024,269.93
realme,18999,82,1,0,0,snapdragon,8,2.2,6,128,5000,1,33,120,2,1,108,16,android,1,1024,391.64
apple,129900,83,1,1,0,bionic,6,3.2,6,256,3095,1,0,120,3,1,12,12,ios,0,0,457.25
tecno,14746,79,0,1,0,helio,8,2.0,6,128,5000,1,18,60,3,1,64,16,android,1,512,395.09
tecno,25999,84,0,0,0,helio,8,2.0,8,256,4700,1,33,90,3,2,50,48,android,0,0,384.66
poco,29999,86,1,1,0,snapdragon,8,3.2,12,256,4500,1,67,120,3,1,64,20,android,0,0,394.57
others,71999,86,1,1,0,snapdragon,8,3.2,12,256,6000,1,65,165,3,1,50,12,android,0,0,394.64
poco,10799,74,0,0,1,helio,8,2.2,4,64,5000,1,18,90,3,1,50,8,android,1,512,399.97
infinix,21990,85,1,0,0,helio,8,2.0,8,128,4500,1,45,120,3,1,108,16,android,1,512,394.57
motorola,25999,85,1,1,0,dimensity,8,2.2,8,256,5000,1,30,120,2,1,50,16,android,1,256,404.89
others,69999,83,1,1,0,others,8,2.9,16,512,5000,1,120,165,3,1,50,32,android,0,0,397.57
poco,12999,79,0,0,1,helio,8,2.0,6,128,5000,1,33,90,3,1,64,16,android,1,1024,409.3
others,8999,64,0,0,1,unisoc,8,1.6,4,64,5050,0,0,60,2,1,13,5,android,1,0,269.1
tecno,49999,89,1,1,0,dimensity,8,3.0,12,256,5160,1,45,120,3,1,50,32,android,0,0,387.03
iqoo,64999,89,1,1,0,snapdragon,8,3.2,16,256,5000,1,120,144,3,1,50,16,android,0,0,517.56
oneplus,27999,77,0,1,0,snapdragon,8,2.8,8,128,3300,0,0,60,2,1,20,16,android,0,0,401.73
oneplus,18999,81,1,0,0,snapdragon,8,2.2,6,128,5000,1,33,120,3,1,50,16,android,1,1024,401.02
samsung,17990,79,1,0,0,dimensity,8,2.2,6,128,5000,1,15,90,3,1,48,8,android,1,1024,399.86
samsung,20999,82,1,0,0,exynos,8,2.4,8,128,5000,1,15,90,3,1,50,13,android,1,1024,399.86
xiaomi,38999,85,1,1,1,snapdragon,8,3.2,8,128,5000,1,120,120,3,1,54,16,android,0,0,526.1
infinix,9999,72,0,0,0,helio,8,2.3,4,64,6000,1,18,90,3,1,50,8,android,1,512,262.62
others,17990,84,1,0,1,dimensity,8,2.4,8,128,5000,1,30,90,4,1,64,16,android,1,1024,396.26
xiaomi,24999,89,1,1,1,dimensity,8,2.6,8,256,4300,1,120,120,3,1,200,16,android,1,512,394.57
samsung,15990,80,0,1,0,exynos,8,2.3,4,128,4000,1,15,60,3,1,48,32,android,1,512,402.69
realme,15499,79,1,0,0,dimensity,8,2.4,6,128,5000,1,18,90,3,1,48,16,android,1,1024,404.89
samsung,4999,61,0,0,0,helio,4,1.5,1,16,3000,0,0,60,1,1,8,5,android,1,256,310.54
oppo,27990,83,1,0,0,snapdragon,8,2.4,8,128,4500,1,65,90,4,1,50,16,android,1,256,417.83
others,8990,60,0,0,1,helio,8,2.0,3,32,3000,1,10,60,1,1,13,5,android,1,128,268.33
realme,24999,79,1,0,0,snapdragon,8,3.2,6,128,5000,1,80,120,3,1,64,16,android,0,0,397.55
motorola,11490,68,0,0,1,helio,8,2.0,4,64,4000,1,10,60,3,1,13,8,android,1,512,271.27
xiaomi,6499,61,0,0,0,helio,8,2.0,2,32,5000,0,0,60,1,1,13,5,android,1,512,268.69
others,13999,71,0,0,0,helio,8,2.0,4,64,5000,1,10,60,3,1,50,5,android,1,1024,269.93
xiaomi,8399,61,0,0,0,helio,4,2.0,3,32,5000,1,10,60,2,1,8,5,android,1,512,269.1
others,6999,69,0,0,0,unisoc,8,1.7,4,32,4000,0,0,60,3,1,13,8,android,0,0,264.33
realme,40990,86,1,1,0,snapdragon,8,3.2,8,128,5000,1,100,120,3,1,50,16,android,0,0,394.44
huawei,60999,84,0,1,0,snapdragon,8,2.8,8,256,4360,1,66,120,4,1,50,13,others,1,256,453.25
xiaomi,46990,89,1,1,1,snapdragon,8,3.2,8,128,4500,1,67,120,3,1,50,32,android,0,0,413.81
apple,72999,79,1,1,0,bionic,6,3.2,4,256,3240,1,0,60,2,1,12,12,ios,0,0,457.25
xiaomi,29999,86,1,0,1,dimensity,8,2.6,8,256,4980,1,120,120,3,1,200,16,android,0,0,394.57
realme,5299,61,0,0,0,tiger,8,1.8,2,32,5000,0,0,60,1,1,8,5,android,1,1024,269.93
google,79700,84,1,1,0,tensor,8,2.8,12,256,5003,1,30,120,3,1,50,11,android,0,0,512.11
vivo,11990,68,0,0,0,snapdragon,8,2.0,3,64,5000,0,0,60,3,1,13,8,android,1,256,269.51
others,63990,86,1,1,0,snapdragon,8,3.2,8,128,4300,1,30,120,2,1,50,12,android,0,0,446.07
huawei,10949,66,0,0,0,kirin,8,2.4,4,64,3000,0,0,60,2,1,13,16,android,1,256,432.0
others,5999,60,0,0,1,tiger,8,1.8,3,32,5000,0,0,60,1,1,8,5,android,1,256,269.1
oneplus,25595,81,1,1,0,snapdragon,8,2.0,6,128,4300,1,30,90,4,1,64,16,android,1,512,405.52
motorola,8999,71,0,0,0,helio,8,2.3,4,64,5000,1,10,90,2,1,50,8,android,1,1024,269.93
xiaomi,10990,69,0,0,0,helio,8,2.0,6,128,5000,0,0,60,1,1,13,5,android,1,512,268.69
iqoo,14999,78,1,0,1,snapdragon,8,2.2,4,128,5000,1,18,120,3,1,50,16,android,1,1024,401.63
oppo,14990,78,0,0,0,snapdragon,8,2.0,6,128,5000,1,33,60,3,1,48,16,android,1,256,411.22
oppo,16490,73,0,0,0,snapdragon,8,2.4,6,128,5000,1,33,90,2,1,13,8,android,1,512,269.13
others,7499,61,0,0,0,snapdragon,4,1.3,3,32,3000,0,0,60,1,1,13,8,android,1,128,292.72
realme,12499,74,0,0,0,helio,8,2.0,4,64,5000,1,18,120,3,1,50,16,android,1,256,400.42
oneplus,29999,83,1,1,0,snapdragon,8,2.4,8,128,4500,1,80,120,3,1,50,32,android,0,0,411.0
oppo,14700,76,0,0,0,helio,8,2.3,6,128,5000,1,18,60,3,1,50,16,android,1,256,269.51
oppo,45999,86,1,1,0,dimensity,8,2.8,12,256,4500,1,80,120,3,1,50,32,android,0,0,394.44
samsung,11499,73,0,0,0,helio,8,2.0,4,64,6000,0,0,90,4,1,48,13,android,1,1024,274.15
realme,14999,80,1,0,0,snapdragon,8,2.2,6,128,5000,1,30,120,3,1,48,16,android,1,1024,404.89
realme,18999,80,1,0,0,snapdragon,8,2.2,6,128,5000,1,33,120,3,1,64,16,android,1,256,400.42
xiaomi,8388,66,0,0,0,helio,8,2.0,4,64,5000,0,0,60,1,1,13,5,android,1,512,268.69
xiaomi,9589,71,0,0,0,snapdragon,8,2.4,4,64,6000,1,18,60,2,1,50,5,android,1,512,261.87
xiaomi,11999,75,0,0,0,snapdragon,8,2.4,6,128,6000,1,18,60,2,1,50,5,android,1,512,261.87
oneplus,55999,87,1,1,0,snapdragon,8,3.2,16,256,4800,1,150,120,3,1,50,16,android,0,0,394.44
samsung,21999,84,1,1,0,dimensity,8,2.0,6,128,7000,1,33,60,4,1,64,32,android,1,1024,392.81
oneplus,44999,86,1,1,0,snapdragon,8,2.8,8,128,4500,1,65,120,4,1,108,16,android,0,0,401.8
samsung,163980,82,1,1,0,snapdragon,8,3.2,12,1024,4400,1,25,120,3,2,50,10,android,0,0,372.59
vivo,22990,83,0,0,0,snapdragon,8,2.4,8,128,5000,1,44,120,3,1,50,16,android,1,1024,408.67
others,28249,86,1,1,0,snapdragon,8,2.5,8,256,4500,1,33,120,2,1,50,16,android,0,0,401.8
samsung,57999,87,1,1,0,snapdragon,8,3.0,8,256,3700,1,25,120,3,1,50,10,android,0,0,422.49
oneplus,19999,77,0,0,0,snapdragon,8,2.0,8,128,4300,1,30,90,3,1,48,16,android,0,0,401.8
xiaomi,23890,80,1,0,1,snapdragon,8,3.2,6,128,4520,1,33,120,3,1,48,20,android,0,0,394.57
oneplus,54999,89,1,1,0,snapdragon,8,3.2,12,256,5000,1,100,120,3,1,50,16,android,0,0,525.92
oppo,18990,83,0,0,1,helio,8,2.2,8,128,4015,1,30,60,4,2,48,16,android,1,256,409.3
xiaomi,51880,89,1,1,1,snapdragon,8,3.0,12,256,4600,1,120,120,3,1,50,32,android,0,0,521.41
apple,84999,83,1,1,0,bionic,6,3.2,6,256,4325,1,0,60,2,1,12,12,ios,0,0,456.77
vivo,7999,61,0,0,0,helio,8,2.3,2,32,5000,0,0,60,1,1,8,5,android,1,1024,269.51
xiaomi,13999,75,0,0,1,snapdragon,8,2.3,4,64,5020,1,18,60,4,1,48,16,android,1,512,394.57
vivo,28990,84,1,0,0,snapdragon,8,2.2,8,256,5000,1,80,120,3,1,108,32,android,1,512,392.81
oppo,15490,77,1,0,0,snapdragon,8,2.0,6,128,5000,1,18,90,3,1,48,8,android,1,1024,404.89
vivo,24994,83,1,0,0,dimensity,8,2.5,8,128,4200,1,44,90,3,2,64,50,android,0,0,408.67
poco,13499,80,0,0,1,snapdragon,8,2.3,6,64,6000,1,33,120,4,1,64,20,android,1,512,394.57
apple,39900,63,0,1,0,bionic,6,2.6,3,64,1821,1,18,60,1,1,12,7,ios,0,0,325.61
oppo,9999,66,0,0,0,helio,8,2.3,3,32,4230,0,0,60,3,1,13,5,android,1,256,269.1
vivo,13489,69,0,0,0,helio,8,2.3,4,64,5000,1,18,60,2,1,13,8,android,1,1024,269.51
iqoo,17999,80,1,0,0,snapdragon,8,2.2,8,128,4200,1,55,120,3,1,50,16,android,0,0,394.57
tecno,6999,62,0,0,0,helio,4,2.0,3,32,5000,1,10,60,2,1,13,5,android,1,256,267.46
xiaomi,50990,89,1,1,1,snapdragon,8,3.0,8,256,4600,1,120,120,3,1,50,32,android,0,0,521.41
others,3999,69,0,0,0,unisoc,4,1.4,1,8,2400,0,0,60,1,1,5,2,android,0,0,195.93
oppo,99990,81,1,1,0,snapdragon,8,3.2,8,256,5000,1,67,120,2,1,64,0,android,0,0,369.91
xiaomi,13999,82,0,0,1,helio,8,2.0,8,128,5000,1,33,60,4,1,64,13,android,1,512,409.3
xiaomi,9999,76,0,0,1,snapdragon,8,2.3,4,64,5020,1,18,60,4,1,48,16,android,1,512,394.57
realme,6299,60,0,0,0,tiger,8,1.8,3,32,5000,0,0,60,1,1,8,5,android,1,1024,269.93
samsung,17990,73,1,1,0,dimensity,8,2.2,4,64,5000,1,15,90,3,1,50,5,android,1,1024,269.93
samsung,105999,86,1,1,0,exynos,8,2.9,12,256,5000,1,25,120,4,1,108,40,android,0,0,516.04
oneplus,14999,69,0,0,0,snapdragon,8,1.8,4,64,6000,1,18,60,3,1,13,8,android,1,0,263.52
samsung,22999,74,0,1,0,exynos,8,2.1,8,128,6000,1,16,60,3,1,64,32,android,1,1024,404.89
xiaomi,22999,87,1,0,1,snapdragon,8,2.2,8,256,5000,1,67,120,3,1,108,16,android,1,1024,394.57
tecno,8890,63,0,0,0,unisoc,8,2.0,4,64,5000,0,0,90,2,1,13,8,android,1,256,267.5
samsung,10999,74,0,1,0,exynos,8,2.0,4,64,6000,1,15,60,3,1,50,8,android,1,1024,399.86
vivo,27999,83,1,0,0,dimensity,8,2.0,8,128,4500,1,44,90,3,1,64,50,android,1,1024,409.8
motorola,57999,89,1,1,0,snapdragon,8,2.8,12,256,5000,1,18,90,3,1,108,25,android,0,0,384.66
motorola,39999,88,1,1,0,snapdragon,8,2.9,8,128,4400,1,67,144,3,1,50,32,android,0,0,401.8
others,82199,89,1,1,0,snapdragon,8,3.0,8,256,5000,1,30,120,3,1,12,12,android,1,256,449.46
oneplus,22999,83,1,1,0,snapdragon,8,2.2,8,128,5000,1,33,120,3,1,64,16,android,1,512,401.02
others,5499,65,0,0,0,tiger,4,2.0,4,32,4000,0,0,60,2,1,8,5,android,0,0,262.71
xiaomi,199990,81,1,0,0,snapdragon,8,3.0,12,512,4050,1,40,60,3,1,108,0,android,0,0,387.57
iqoo,15499,78,1,0,0,snapdragon,8,2.2,4,128,5000,1,18,120,3,1,50,16,android,1,1024,401.08
apple,29990,61,0,1,0,bionic,6,2.6,3,64,2050,1,0,60,1,1,12,7,ios,0,0,325.61
apple,65999,81,1,1,0,bionic,6,3.2,6,128,3279,1,0,60,2,1,12,12,ios,0,0,457.25
xiaomi,25990,83,1,0,1,snapdragon,8,3.2,8,128,4520,1,33,120,3,1,48,20,android,0,0,394.57
vivo,15490,79,0,0,0,helio,8,2.0,8,128,5000,1,19,60,3,1,64,16,android,1,1024,401.08
oneplus,44999,85,1,1,0,snapdragon,8,3.2,8,128,4800,1,150,120,3,1,50,16,android,0,0,394.44
vivo,7999,60,0,0,0,helio,8,2.3,2,32,5000,1,10,60,1,1,8,5,android,1,1024,269.51
oppo,32990,84,1,1,0,dimensity,8,3.0,8,128,4500,1,80,90,3,1,50,32,android,0,0,409.3
vivo,19990,82,0,0,0,helio,8,2.0,8,128,4050,1,44,60,3,1,50,44,android,1,1024,408.67
samsung,8499,68,0,0,0,helio,8,2.3,4,64,5000,1,15,60,2,1,13,5,android,1,1024,269.93
